Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
7,5,開懷大少(A278),巴度,文家良,129,1186,5,5,3 3 2 7 ,1:40.16,17,第四班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,13
8,11,福星高照(D407),梁家俊,容天鵬,117,1237,10,6,11 10 10 8 ,1:40.31,12,第四班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,13
9,10,珍珠鳳凰(B201),史卓豐,葉楚航,119,1036,6,6-3/4,5 4 4 9 ,1:40.43,4.9,第四班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,13
10,12,爸巴閉(D235),霍宏聲,霍利時,119,1086,1,7-1/4,4 5 5 10 ,1:40.49,19,第四班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,13
11,9,睿智(E387),彭國年,高伯新,121,1148,9,9-1/4,10 11 11 11 ,1:40.82,206,第四班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,13
12,3,夢幻戰士(C280),周俊樂,告東尼,127,1124,11,14-1/4,12 12 12 12 ,1:41.63,10,第四班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,13
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,9,有運來(E187),潘頓,沈集成,121,1170,5,-,2 2 1 ,1:10.26,2,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
2,5,量化歡騰(D049),周俊樂,韋達,120,1132,7,頸位,3 4 2 ,1:10.31,7.5,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
3,11,銘記知心(E089),莫雷拉,蔡約翰,117,993,11,1,5 5 3 ,1:10.43,13,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
4,8,赤馬雄風(E028),田泰安,大衛希斯,122,1207,1,1-1/4,1 1 4 ,1:10.45,4.1,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
5,12,信心滿滿(D229),何澤堯,呂健威,117,982,4,1-1/2,6 6 5 ,1:10.49,29,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
6,7,健康美麗(B384),梁家俊,文家良,122,1057,8,2-1/4,8 7 6 ,1:10.62,31,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
7,6,雲彩飛揚(E122),黃皓楠,葉楚航,121,993,2,2-1/4,4 3 7 ,1:10.62,270,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
8,1,晨曦飛馬(C351),霍宏聲,方嘉柏,132,992,3,2-1/4,9 9 8 ,1:10.64,13,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
9,10,安逸寧靜(D189),波健士,蘇偉賢,118,1023,6,3,7 8 9 ,1:10.73,120,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
10,4,紅磚勇士(C304),潘明輝,賀賢,123,1053,9,3-1/4,10 10 10 ,1:10.77,13,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
11,3,佳尊三(D186),賀銘年,羅富全,127,1072,12,3-1/2,12 12 11 ,1:10.83,116,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
12,2,雪戰神駒(B371),巴度,高伯新,131,1100,10,7-1/2,11 11 12 ,1:11.48,35,第四班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,14
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,2,駿爵士(C406),莫雷拉,方嘉柏,130,1234,11,-,10 9 1 ,0:56.95,12,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
2,3,勇創派對(E368),何澤堯,呂健威,129,1024,8,1/2,9 8 2 ,0:57.05,4.6,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
3,4,無可限量(E419),潘頓,大衛希斯,126,1249,6,1,2 3 3 ,0:57.11,2.3,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
4,1,你知我勝(D451),班德禮,姚本輝,132,1137,4,1-1/4,1 2 4 ,0:57.17,10,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
5,10,蒲俠超得(E138),巴度,容天鵬,122,1174,7,2-1/4,4 1 5 ,0:57.32,9,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
6,7,帝豪之星(E399),史卓豐,沈集成,124,1085,3,2-3/4,5 5 6 ,0:57.39,67,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
7,6,紅衣火旺(E084),田泰安,羅富全,124,1092,2,3,6 7 7 ,0:57.43,8.8,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
8,11,包裝得勝(D291),黃皓楠,何良,116,1145,5,3-1/4,7 6 8 ,0:57.47,43,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
9,8,不可擋(E336),周俊樂,韋達,118,1061,12,4,12 12 9 ,0:57.60,33,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
10,5,令才(D350),霍宏聲,霍利時,126,1056,1,5-1/4,3 4 10 ,0:57.78,11,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
11,12,繼續精彩(E252),蔡明紹,葉楚航,117,1066,9,6-1/2,11 10 11 ,0:57.99,219,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
12,9,旅遊拿督(V235),潘明輝,高伯新,121,1071,10,8-3/4,8 11 12 ,0:58.35,66,第四班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,15
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,8,都靈紅星(B092),班德禮,韋達,117,1133,2,-,3 4 4 1 ,1:39.13,9.9,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
2,6,冠寶駒(D359),田泰安,苗禮德,120,1071,4,頸位,2 2 2 2 ,1:39.17,3.8,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
3,1,歡欣福星(D273),周俊樂,呂健威,128,1030,6,1-1/4,9 9 9 3 ,1:39.35,5,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
4,7,贏科超影(A164),蔡明紹,高伯新,119,1038,3,1-1/2,7 6 6 4 ,1:39.37,19,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
5,10,牽旺加富(E127),巴度,鄭俊偉,114,1039,5,2-1/4,6 7 7 5 ,1:39.50,5.1,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
6,3,喜盈寶(D424),潘頓,蔡約翰,127,993,10,3-1/4,10 10 8 6 ,1:39.65,15,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
7,2,王炸(E143),陳嘉熙,方嘉柏,123,1106,9,3-3/4,1 1 1 7 ,1:39.73,18,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
8,4,幸福人民(E196),莫雷拉,沈集成,124,1183,1,3-3/4,4 3 3 8 ,1:39.73,3.9,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
9,5,南莊加寶(B048),霍宏聲,徐雨石,124,1101,8,6-1/4,8 8 10 9 ,1:40.12,45,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
10,9,鴻圖巨星(C163),黃皓楠,葉楚航,113,1069,7,15,5 5 5 10 ,1:41.53,127,第三班,HV,1650米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,16
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,3,多多寶驥(D243),莫雷拉,苗禮德,125,1183,3,-,4 3 1 ,0:56.63,1.8,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
2,6,事事亨通(D174),彭國年,高伯新,120,1238,4,鼻位,1 1 2 ,0:56.63,10,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
3,4,紅酒之寶(E101),陳嘉熙,容天鵬,118,1168,5,2-1/4,2 2 3 ,0:56.98,41,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
4,8,帆哥兒(B089),霍宏聲,方嘉柏,120,1100,10,2-1/2,9 9 4 ,0:57.02,58,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
5,9,電訊超班(E140),田泰安,徐雨石,119,1061,11,2-1/2,12 11 5 ,0:57.03,11,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
6,5,好好彩彩(B188),梁家俊,蘇偉賢,122,1245,9,3-1/4,7 6 6 ,0:57.14,16,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
7,1,閃電精靈(D071),周俊樂,告東尼,128,1223,7,4-3/4,8 10 7 ,0:57.37,14,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
8,10,過河勁卒(C381),波健士,蔡約翰,115,1050,1,4-3/4,6 4 8 ,0:57.41,16,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
9,2,悅跑得(C502),何澤堯,呂健威,128,1186,12,5,10 12 9 ,0:57.42,38,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
10,11,競駿攻略(D380),巫顯東,賀賢,112,1164,6,6,11 8 10 ,0:57.58,227,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
11,12,齊心同行(E287),巴度,大衛希斯,114,1176,8,6-3/4,3 5 11 ,0:57.69,5.3,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
12,7,創建群英(D464),楊明綸,丁冠豪,120,1016,2,9-1/4,5 7 12 ,0:58.13,36,第三班,HV,1000米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,17
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,4,十二馬(D280),巴度,蘇偉賢,122,1144,1,-,1 1 1 ,1:09.53,2.5,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
2,11,進力之城(D113),楊明綸,韋達,115,1100,2,2,3 4 2 ,1:09.85,9.2,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
3,2,場場精綵(D126),周俊樂,告東尼,123,1075,10,2-1/4,11 11 3 ,1:09.90,18,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
4,3,維港奔流(D042),梁家俊,羅富全,125,1115,5,3-1/4,4 5 4 ,1:10.03,6.4,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
5,9,高耀智星(C067),潘明輝,苗禮德,115,1149,7,3-1/2,8 9 5 ,1:10.08,8.3,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
6,6,騰龍超影(T372),波健士,蘇保羅,118,1129,4,4,5 6 6 ,1:10.17,32,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
7,7,戰鬥英雄(D050),史卓豐,方嘉柏,121,1071,9,4-1/4,10 10 7 ,1:10.23,27,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
8,12,電訊火箭(C137),田泰安,徐雨石,115,1091,6,4-3/4,7 7 8 ,1:10.27,5.6,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
9,10,駿龍飛騰(E121),何澤堯,呂健威,117,1031,12,5-3/4,9 8 9 ,1:10.44,129,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
10,5,健康就好(E159),賀銘年,大衛希斯,119,915,3,7-3/4,2 3 10 ,1:10.75,41,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
11,8,聲勢(D120),莫雷拉,蔡約翰,118,1107,11,7-3/4,6 2 11 ,1:10.77,9.7,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
WV-A,1,知道必勝(C383),潘頓,沈集成,133,---,---,---,---,---,---,第三班,HV,1200米,好地至快地,"草地 - ""B"" 賽道",2021,9,8,18
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,8,睡眠攻略(C493),霍宏聲,霍利時,123,1162,5,-,3 3 3 4 1 ,1:50.34,10,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
2,3,賞心星(C251),莫雷拉,方嘉柏,129,1210,2,1/2,5 5 5 6 2 ,1:50.43,6.6,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
3,7,怡威(C496),黎海榮,霍利時,124,1062,9,2,1 1 1 1 3 ,1:50.64,68,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
4,2,情趣(V114),田泰安,霍利時,130,1145,1,2,8 7 8 7 4 ,1:50.65,8.1,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
5,1,榮冠大道(V378),潘頓,葉楚航,133,1177,4,2,4 4 4 5 5 ,1:50.67,2.8,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
6,4,榮惑(C370),周俊樂,告東尼,122,1049,7,2-1/4,9 8 7 3 6 ,1:50.69,10,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
7,11,緣份(C535),賀銘年,鄭俊偉,118,1051,3,4-1/4,2 2 2 2 7 ,1:51.01,12,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
8,5,生生福運(D274),彭國年,徐雨石,127,1010,8,4-3/4,7 6 6 10 8 ,1:51.10,49,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
9,10,榮華煌昌(D252),楊明綸,丁冠豪,121,1074,11,5-1/2,6 10 9 8 9 ,1:51.20,8.2,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
10,9,靈鋒(A245),巫顯東,苗禮德,118,1064,6,5-1/2,11 11 11 11 10 ,1:51.21,8.7,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
11,6,一見傾心(B401),梁家俊,蘇保羅,126,1214,10,5-1/2,10 9 10 9 11 ,1:51.23,26,第五班,HV,1800米,好地,"草地 - ""C"" 賽道",2021,9,15,29
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,10,鑽石福星(D446),田泰安,丁冠豪,115,1163,1,-,4 4 5 1 ,1:39.28,10,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
2,4,快步速(C427),潘頓,方嘉柏,128,1205,9,鼻位,2 3 2 2 ,1:39.28,3.2,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
3,8,鵲橋飛渡(A247),波健士,蘇偉賢,123,1089,7,頸位,1 2 3 3 ,1:39.33,25,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
4,2,機緣巧俠(C358),莫雷拉,文家良,132,1094,6,1/2,7 1 1 4 ,1:39.37,5.5,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
5,1,盈嘉輝(C080),薛恩,徐雨石,133,1072,2,2-1/4,6 8 8 5 ,1:39.64,14,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
6,9,紅褲之王(E262),史卓豐,大衛希斯,123,1065,5,2-1/2,3 5 4 6 ,1:39.67,4.2,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
7,7,一舖成名(B162),梁家俊,葉楚航,125,1164,8,3-1/4,9 9 9 7 ,1:39.81,21,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
8,3,紫菜福星(C440),何澤堯,呂健威,129,1146,4,6-1/2,5 7 6 8 ,1:40.31,4.7,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
9,6,活力得勝(C091),潘明輝,蘇保羅,124,1108,3,7-1/2,8 6 7 9 ,1:40.48,43,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
WV,5,捉金皇(B460),霍宏聲,方嘉柏,128,---,---,---,---,---,---,第四班,HV,1650米,好地,"草地 - ""C"" 賽道",2021,9,15,30
