Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
2,4,博愛之光(E139),薛恩,大衛希斯,129,1047,9,1,12 12 12 2 ,1:39.40,39,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
3,8,焱焱元帥(G053),莫雷拉,蔡約翰,126,1175,5,1-1/4,5 3 2 3 ,1:39.42,4.6,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
4,12,旅遊達人(E170),巴度,徐雨石,119,1015,8,2-1/4,4 5 5 4 ,1:39.60,9.3,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
5,3,雄龍(C191),波健士,蘇偉賢,132,1142,7,2-1/2,7 8 7 5 ,1:39.66,32,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
6,7,逍遙駒(E065),蔡明紹,羅富全,127,1105,10,4-1/2,6 7 6 6 ,1:39.96,5.6,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
7,5,雪戰神駒(B371),周俊樂,高伯新,126,1126,2,5,11 11 10 7 ,1:40.07,12,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
8,1,大地歡笑(E353),馬雅,沈集成,133,1124,6,5-3/4,1 1 1 8 ,1:40.17,33,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
9,6,勁力威龍(C437),田泰安,文家良,128,1107,3,6,10 10 9 9 ,1:40.20,9.4,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
10,10,綠續爆發(E104),何澤堯,姚本輝,120,1060,12,9-1/4,3 4 8 10 ,1:40.73,4.8,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
11,9,富存鉅星(E248),巫顯東,何良,119,1138,4,11-3/4,9 9 11 11 ,1:41.13,137,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
12,2,鴻圖巨星(C163),梁家俊,葉楚航,132,1097,11,25,2 2 4 12 ,1:43.25,45,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,198
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,2,信心滿滿(D229),潘頓,呂健威,133,1002,12,-,4 4 4 1 ,1:39.89,8.5,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
2,5,勁叻仔(D513),莫雷拉,鄭俊偉,126,1057,2,3/4,6 6 5 2 ,1:40.01,3.4,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
3,6,謎語(D491),薛恩,徐雨石,126,1004,6,1-3/4,3 2 1 3 ,1:40.18,5.9,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
4,11,白鷺盛世(D163),賀銘年,苗禮德,117,1060,9,3-3/4,2 3 3 4 ,1:40.49,8.4,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
5,3,好友無敵(A217),巴度,文家良,132,1092,1,3-3/4,5 5 6 5 ,1:40.50,6.9,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
6,1,爪皇烈焰(T353),田泰安,霍利時,133,1221,10,4-1/4,12 12 12 6 ,1:40.57,32,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
7,9,挺秀精神(E027),何澤堯,告東尼,122,1212,7,4-3/4,1 1 2 7 ,1:40.64,20,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
8,4,小武士(E267),霍宏聲,方嘉柏,131,1125,11,6,11 11 9 8 ,1:40.86,7.1,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
9,12,勝出魅力(D192),波健士,韋達,114,1208,8,7-3/4,9 9 10 9 ,1:41.15,47,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
10,10,葵涌精英(C173),梁家俊,丁冠豪,121,1075,4,8-3/4,8 8 8 10 ,1:41.27,15,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
11,8,生生發發(B467),蔡明紹,蘇偉賢,122,1134,3,14-3/4,7 7 7 11 ,1:42.23,20,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
12,7,馬上喝采(D302),潘明輝,葉楚航,123,1072,5,14-3/4,10 10 11 12 ,1:42.24,71,第五班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,199
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,9,噴火龍(B463),霍宏聲,霍利時,121,1047,5,-,5 4 4 1 ,1:39.73,5,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
2,2,忠誠駒(E130),莫雷拉,羅富全,132,1168,8,短馬頭位,3 3 3 2 ,1:39.76,2.8,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
3,4,二雋(D415),巴度,蔡約翰,131,1022,4,頸位,9 9 10 3 ,1:39.78,10,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
4,11,金獅大將(E057),賀銘年,大衛希斯,118,1095,1,1/2,4 5 5 4 ,1:39.84,12,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
5,3,好運寶寶(D372),田泰安,告東尼,131,1207,9,1-1/4,1 1 1 5 ,1:39.93,14,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
6,5,佳運來(T380),蔡明紹,徐雨石,129,1042,3,2,7 7 6 6 ,1:40.07,41,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
7,8,鵲橋飛渡(A247),波健士,蘇偉賢,122,1110,2,2-3/4,2 2 2 7 ,1:40.16,13,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
8,10,天空之城(E370),何澤堯,呂健威,119,1056,7,2-3/4,8 8 8 8 ,1:40.17,13,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
9,7,真感(E209),潘頓,高伯新,124,1233,10,4-3/4,10 10 9 9 ,1:40.49,5.3,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
10,12,福星高照(D407),梁家俊,容天鵬,117,1234,12,8-1/4,12 12 11 10 ,1:41.07,40,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
11,1,妙算歡騰(E383),楊明綸,丁冠豪,133,1213,11,13-1/2,11 11 12 11 ,1:41.90,67,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
12,6,鑽兩鑽(G041),班德禮,姚本輝,126,1070,6,16-1/2,6 6 7 12 ,1:42.38,148,第四班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,200
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,4,紅衣火旺(E084),蔡明紹,羅富全,128,1131,5,-,3 3 1 ,1:09.80,3.4,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
2,11,爪皇箭火(E420),霍宏聲,霍利時,122,1299,2,3/4,4 4 2 ,1:09.91,19,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
3,9,喜悅精靈(E388),巴度,賀賢,123,1168,4,1,7 6 3 ,1:09.97,9.9,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
4,5,喜駿之星(D033),梁家俊,文家良,126,1142,11,2,2 1 4 ,1:10.12,9.6,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
5,1,紅鬃烈馬(D087),陳嘉熙,葉楚航,126,1045,1,3-1/4,1 2 5 ,1:10.33,2.8,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
6,2,鑽一鑽(D461),班德禮,姚本輝,132,1151,8,4-1/2,11 8 6 ,1:10.50,95,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
7,12,各取所需(C474),周俊樂,韋達,116,1075,12,4-1/2,12 12 7 ,1:10.52,45,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
8,8,大武士(B216),賀銘年,沈集成,124,1169,9,6-1/4,9 9 8 ,1:10.78,33,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
9,6,親愛的(E404),馬雅,蘇偉賢,125,1118,3,6-1/4,5 5 9 ,1:10.81,28,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
10,10,澳華威威(E144),何澤堯,徐雨石,122,1010,10,7-1/4,10 11 10 ,1:10.96,37,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
11,3,嘉應精神(E217),潘頓,大衛希斯,131,1152,6,8-3/4,6 7 11 ,1:11.18,6.6,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
12,7,勇猛精靈(G064),潘明輝,告東尼,123,1107,7,14-1/2,8 10 12 ,1:12.11,33,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,201
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,1,浪漫勇士(E486),莫雷拉,沈集成,133,1115,5,-,7 6 1 ,1:09.41,1.4,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
2,11,福滿寶(D118),潘明輝,賀賢,114,1051,1,1,4 4 2 ,1:09.56,8.3,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
3,2,齊心同行(E287),潘頓,大衛希斯,132,1174,2,2-1/4,2 1 3 ,1:09.75,6.6,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
4,8,春風得意(C309),薛恩,方嘉柏,122,1058,8,2-3/4,10 10 4 ,1:09.83,24,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
5,9,佳尊三(D186),霍宏聲,霍利時,121,1065,4,4,3 5 5 ,1:10.06,45,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
6,10,五邑之星(D503),田泰安,徐雨石,119,1088,3,4-1/2,6 7 6 ,1:10.14,13,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
7,5,過河勁卒(C381),波健士,蔡約翰,131,1094,11,5-3/4,5 2 7 ,1:10.33,48,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
8,12,紅磚閃耀(E405),黃俊,姚本輝,110,1050,10,6,9 9 8 ,1:10.36,128,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
9,4,特醒(C060),黎海榮,蘇偉賢,131,1181,9,6-3/4,11 11 9 ,1:10.49,105,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
10,7,自來金(E402),梁家俊,蘇保羅,125,1141,6,9-1/4,8 8 10 ,1:10.90,66,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
11,6,勁力爆發(E357),何澤堯,告東尼,125,1235,7,22-3/4,1 3 11 ,1:13.07,37,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
WV,3,得力寶駒(E270),周俊樂,呂健威,129,---,---,---,---,---,---,第四班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,202
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,4,超好日子(D473),巴度,呂健威,125,1191,8,-,10 11 10 1 ,1:38.98,7,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
2,8,聰明導彈(C037),班德禮,方嘉柏,117,1114,1,頸位,7 6 8 2 ,1:39.05,13,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
3,9,浪漫組合(D271),田泰安,沈集成,117,1130,3,1-3/4,6 7 6 3 ,1:39.26,3.9,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
4,11,旋風飛影(E300),莫雷拉,蔡約翰,115,1110,6,3-1/4,8 9 7 4 ,1:39.50,2.7,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
5,10,勁駒(D138),賀銘年,賀賢,117,1103,7,4-1/2,11 10 11 5 ,1:39.72,27,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
6,5,終身美麗(E275),潘明輝,告東尼,119,1184,9,5-1/4,1 1 2 6 ,1:39.83,15,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
7,2,盛大光輝(C121),巫顯東,丁冠豪,127,1155,2,5-3/4,5 4 5 7 ,1:39.91,20,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
8,6,童話(B238),梁家俊,徐雨石,120,1141,5,6-1/2,9 8 9 8 ,1:40.03,57,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
9,1,大眾開心(D029),潘頓,羅富全,133,1091,11,7,3 3 1 9 ,1:40.10,5.6,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
10,7,健康第一(E318),霍宏聲,大衛希斯,120,1100,10,11,4 5 4 10 ,1:40.74,73,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
11,3,紅旺(C341),陳嘉熙,葉楚航,122,1211,4,11-3/4,2 2 3 11 ,1:40.85,52,第三班,HV,1650米,好地,"草地 - ""C+3"" 賽道",2021,11,24,203
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,6,共創繽紛(D335),潘頓,蔡約翰,120,1131,1,-,7 6 1 ,1:09.06,4.8,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
2,8,神之水滴(E260),莫雷拉,蔡約翰,116,1123,4,1-1/2,4 3 2 ,1:09.31,3.4,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
3,12,知道必勝(C383),蔡明紹,沈集成,115,1243,11,1-1/2,8 8 3 ,1:09.32,10,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
4,7,暖在你心(D272),田泰安,呂健威,118,1143,10,1-3/4,2 2 4 ,1:09.34,7.6,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
5,2,好眼光(D375),波健士,蔡約翰,130,1150,7,2,1 1 5 ,1:09.36,6.6,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
6,11,以戰養戰(D024),潘明輝,羅富全,113,1154,5,3,3 4 6 ,1:09.53,27,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
7,3,飛霸龍(B033),梁家俊,苗禮德,125,1111,6,3-1/4,6 7 7 ,1:09.58,12,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
8,1,有理共想(B180),周俊樂,葉楚航,130,1202,2,3-1/4,10 10 8 ,1:09.59,24,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
9,10,場場精綵(D126),巴度,告東尼,116,1095,3,3-3/4,12 11 9 ,1:09.66,19,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
10,4,駿龍駒(D129),馬雅,大衛希斯,122,1017,8,4,9 9 10 ,1:09.71,55,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
11,9,天火同人(E175),何澤堯,韋達,117,1070,9,5,5 5 11 ,1:09.86,10,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
12,5,寶成智勝(D228),班德禮,姚本輝,121,1161,12,6-1/2,11 12 12 ,1:10.10,86,第二班,HV,1200米,好地,"草地 - ""C+3"" 賽道",2021,11,24,204
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,3,威闖(D168),潘頓,大衛希斯,131,1051,2,-,3 3 3 3 3 1 ,2:18.86,2.7,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
2,7,睡眠攻略(C493),莫雷拉,霍利時,116,1168,1,2-1/4,1 1 1 1 1 2 ,2:19.21,2.8,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
3,5,鑽石福星(D446),何澤堯,丁冠豪,127,1184,4,3-3/4,2 2 2 2 2 3 ,2:19.44,7.4,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
4,1,兄弟友盈(D403),潘明輝,蘇保羅,131,1148,3,5-1/2,5 5 5 5 7 4 ,2:19.73,19,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
5,2,團結一致(C494),薛恩,霍利時,132,965,6,5-3/4,6 6 6 6 5 5 ,2:19.77,22,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
6,4,活力得勝(C091),梁家俊,蘇保羅,131,1118,5,6,4 4 4 4 4 6 ,2:19.83,6.3,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
7,6,龍戰士(C153),蔡明紹,蘇保羅,121,1122,7,7-1/2,7 7 7 7 6 7 ,2:20.05,9.7,第四班,HV,2200米,好地,"草地 - ""A"" 賽道",2021,12,1,215
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,8,陽明冠爵(D240),陳嘉熙,韋達,117,1091,1,-,4 3 1 ,0:57.65,5.4,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
2,3,有苗頭(D097),何澤堯,徐雨石,131,1018,3,2-1/4,1 1 2 ,0:58.00,3.7,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
3,11,傲龍駒(D164),蔡明紹,容天鵬,115,1056,2,2-1/4,6 7 3 ,0:58.01,11,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
4,2,爪皇烈焰(T353),希威森,霍利時,132,1215,8,3-1/4,10 11 4 ,0:58.16,69,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
5,7,精算赤焰(E258),莫雷拉,蔡約翰,124,1119,11,3-3/4,11 9 5 ,0:58.23,32,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
6,9,雪茄之友(D299),賀銘年,丁冠豪,123,1111,10,4-3/4,2 2 6 ,0:58.39,9.7,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
7,4,銀亮之星(B027),薛恩,蘇偉賢,130,1083,4,5,3 4 7 ,0:58.44,23,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
8,12,鑲藍旗(C167),黎海榮,文家良,115,1130,9,5-1/4,7 8 8 ,0:58.49,58,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
9,1,領航大帝(E148),班德禮,大衛希斯,133,1078,7,5-1/2,5 5 9 ,0:58.53,12,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
10,6,怪獸厨神(D411),潘明輝,何良,126,1056,5,5-3/4,9 10 10 ,0:58.56,6.9,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
11,5,氣宇軒航(E019),潘頓,葉楚航,128,1102,6,6-1/4,8 6 11 ,0:58.64,14,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
UR,10,全中(D104),周俊樂,蘇保羅,116,1101,12,---,---,---,5.7,第五班,HV,1000米,好地,"草地 - ""A"" 賽道",2021,12,1,216
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,7,有主意(E344),班德禮,羅富全,125,1078,6,-,6 6 1 ,1:10.80,5.8,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
2,11,明月千山(C403),黎海榮,徐雨石,115,1155,5,1/2,2 2 2 ,1:10.90,32,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
3,8,友之星(E072),周俊樂,容天鵬,119,1145,3,1/2,5 5 3 ,1:10.90,28,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
4,6,奇寶(E386),潘頓,蔡約翰,126,1150,4,3/4,7 8 4 ,1:10.91,3.5,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
5,12,歡樂洋洋(E263),楊明綸,韋達,115,1009,9,2-1/4,8 7 5 ,1:11.15,30,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
6,9,安田之寶(E288),賀銘年,丁冠豪,118,1072,1,3,1 1 6 ,1:11.27,6.7,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
7,10,蟲草老爺(E259),黃皓楠,葉楚航,113,987,10,4-3/4,10 10 7 ,1:11.57,102,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
8,3,多利多(E438),馬雅,高伯新,126,1109,7,5,9 9 8 ,1:11.58,87,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
9,2,創科先鋒(D361),莫雷拉,文家良,128,1178,8,5,3 3 9 ,1:11.61,2.9,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
10,4,慶萬家(G029),巫顯東,何良,124,1073,11,6,11 11 10 ,1:11.75,211,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
11,5,馬力佳(E417),薛恩,大衛希斯,126,1138,2,11,4 4 11 ,1:12.55,7,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
WV,1,發贏喜(E251),梁家俊,蘇偉賢,133,---,---,---,---,---,---,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,217
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,4,香港精神(D241),莫雷拉,苗禮德,130,1001,8,-,10 10 11 9 1 ,1:51.60,3.7,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
2,5,成功星駒(D065),蔡明紹,霍利時,126,969,4,1-1/4,5 7 8 11 2 ,1:51.79,6.2,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
3,3,華美福星(E086),潘明輝,告東尼,129,1128,2,1-1/4,4 3 3 3 3 ,1:51.82,10,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
4,6,無限驚喜(B477),楊明綸,容天鵬,123,1182,11,2-1/4,1 1 1 1 4 ,1:51.95,6.1,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
5,7,非凡魅力(D102),潘頓,賀賢,122,1115,6,3-1/4,9 9 7 6 5 ,1:52.12,3.5,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
6,8,金剛福星(D017),賀銘年,蔡約翰,121,1024,12,3-1/4,12 12 10 10 6 ,1:52.14,18,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
7,10,明德之星(B395),希威森,文家良,117,1094,1,4-1/2,7 6 5 5 7 ,1:52.31,80,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
8,12,勝出魅力(D192),黎海榮,韋達,113,1199,10,4-3/4,11 11 12 8 8 ,1:52.37,105,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
9,2,電訊犇豹(D405),薛恩,葉楚航,133,1172,5,5-3/4,3 2 2 2 9 ,1:52.51,24,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
10,1,度身訂做(C522),陳嘉熙,方嘉柏,126,1063,9,6-3/4,6 5 6 7 10 ,1:52.67,15,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
11,9,有力(E017),巫顯東,鄭俊偉,119,1050,3,7-1/4,8 8 9 12 11 ,1:52.75,38,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
12,11,表表馬(C233),波健士,蘇偉賢,113,1156,7,7-1/4,2 4 4 4 12 ,1:52.77,37,第五班,HV,1800米,好地,"草地 - ""A"" 賽道",2021,12,1,218
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,2,銘記知心(E089),莫雷拉,蔡約翰,132,1015,7,-,6 4 1 ,1:10.77,3.1,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
2,3,騰龍駒(B349),何澤堯,容天鵬,130,1167,10,頸位,11 8 2 ,1:10.81,15,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
3,4,贏多多(C004),賀銘年,丁冠豪,130,1106,12,1-3/4,12 10 3 ,1:11.06,37,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
4,10,精算其然(E307),波健士,呂健威,120,1072,1,2,2 3 4 ,1:11.10,36,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
5,8,仍然贏(C388),潘頓,蘇偉賢,125,1128,11,2,9 7 5 ,1:11.11,5.6,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
6,5,電子傳奇(G028),周俊樂,文家良,124,1074,2,3,4 5 6 ,1:11.26,39,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
7,9,同盟力量(C036),潘明輝,姚本輝,121,1234,4,4-1/4,1 1 7 ,1:11.44,4.8,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
8,1,二話不說(C134),蔡明紹,葉楚航,133,1129,6,4-1/4,3 2 8 ,1:11.46,5.3,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
9,7,國士無雙(G006),薛恩,方嘉柏,127,1124,8,5-3/4,7 9 9 ,1:11.68,13,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
10,11,各取所需(C474),希威森,韋達,118,1071,5,8-1/4,8 12 10 ,1:12.09,12,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
11,6,美男子(E493),馬雅,高伯新,127,1090,3,9-3/4,5 6 11 ,1:12.33,118,第四班,HV,1200米,好地,"草地 - ""A"" 賽道",2021,12,1,219
