Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo,Race
1,12,得賞(B288),梁家俊,葉楚航,120,1048,6,-,9 10 8 1 ,1:22.66,11,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
2,7,爆谷(D307),田泰安,告東尼,130,984,12,1/2,13 13 12 2 ,1:22.76,7.5,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
3,13,行樂之光(D331),賀銘年,蘇偉賢,118,1119,10,1-1/4,11 11 10 3 ,1:22.86,67,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
4,9,水星二號(D303),巫顯東,苗禮德,122,1238,14,1-1/4,12 14 14 4 ,1:22.87,21,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
5,1,綠續爆發(E104),彭國年,姚本輝,133,1063,5,2,3 2 2 5 ,1:22.97,10,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
6,3,好友無敵(A217),黎海榮,文家良,131,1091,7,3-1/2,6 7 6 6 ,1:23.22,54,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
7,14,輝煌巨星(C046),波健士,蘇保羅,118,1058,1,3-3/4,7 6 7 7 ,1:23.27,6.7,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
8,5,東龍陣(B394),薛恩,容天鵬,131,1146,11,4,1 1 1 8 ,1:23.32,40,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
9,6,非凡魅力(D102),潘頓,賀賢,130,1098,13,5-1/4,14 9 9 9 ,1:23.48,6.8,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
10,10,驍鎰(D439),周俊樂,韋達,120,1202,3,5-3/4,8 8 11 10 ,1:23.60,39,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
11,2,型感(D296),霍宏聲,霍利時,132,1264,9,6,10 12 13 11 ,1:23.62,8,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
12,4,尚方寶駒(D502),莫雷拉,方嘉柏,131,1191,4,9-1/4,4 5 4 12 ,1:24.13,3.7,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
13,11,愛逍遙(D190),黃俊,徐雨石,115,1054,8,11,5 4 3 13 ,1:24.43,19,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
14,8,森林烈火(E214),何澤堯,呂健威,128,1063,2,15,2 3 5 14 ,1:25.05,42,第五班,ST,1400米,好地,草地 - A 賽道,2021,9,5,1,1
1,5,會長之星(C205),周俊樂,韋達,121,1167,3,-,6 3 1 ,0:56.01,7.5,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
2,6,心之行(E380),何澤堯,呂健威,119,1096,2,頸位,3 5 2 ,0:56.07,47,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
3,4,合衷共濟(B250),潘頓,賀賢,129,1107,4,1/2,2 2 3 ,0:56.09,3.5,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
4,3,加州凱歌(D067),田泰安,告東尼,129,1283,5,1/2,7 8 4 ,0:56.10,8.6,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
5,7,輗多福(E105),史卓豐,大衛希斯,119,1256,8,3/4,1 1 5 ,0:56.15,3,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
6,1,佳景福星(C454),班德禮,葉楚航,133,1157,1,2-1/2,8 7 6 ,0:56.41,9.7,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
7,8,勝意龍(E253),巴度,蘇偉賢,118,1126,7,5-1/4,5 6 7 ,0:56.86,7.3,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
8,2,綠色時代(D392),莫雷拉,方嘉柏,130,1077,6,7-1/2,4 4 8 ,0:57.20,10,第三班,ST,1000米,好地,草地 - A 賽道,2021,9,5,2,2
1,1,包裝長勝(E373),潘頓,沈集成,133,1188,4,-,2 1 1 ,1:09.23,1.5,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
2,5,多多歡笑(E362),莫雷拉,鄭俊偉,125,1080,8,2-3/4,5 5 2 ,1:09.69,6.6,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
3,12,快樂歡騰(B272),蔡明紹,葉楚航,113,1184,9,3,7 7 3 ,1:09.71,15,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
4,11,赤水神駒(V364),黃俊,葉楚航,108,1185,2,3-1/4,3 4 4 ,1:09.76,105,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
5,2,威威心得(B052),梁家俊,蘇保羅,130,1064,12,3-3/4,11 10 5 ,1:09.82,15,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
6,9,一路順風(C453),霍宏聲,苗禮德,120,1095,7,4-1/4,8 9 6 ,1:09.91,70,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
7,4,專一(D191),陳嘉熙,葉楚航,121,1077,11,4-3/4,12 12 7 ,1:09.98,52,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
8,6,觔斗雲(E249),班德禮,姚本輝,124,1128,10,4-3/4,10 11 8 ,1:10.00,21,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
9,8,勇眼光(D487),史卓豐,大衛希斯,121,1270,1,5-1/2,6 6 9 ,1:10.10,9.9,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
10,3,步履娛飛(C289),田泰安,蘇偉賢,128,1213,5,6-1/2,4 3 10 ,1:10.28,16,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
11,10,華美福星(E086),巴度,告東尼,118,1137,6,7-1/4,9 8 11 ,1:10.40,151,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
12,7,精算其然(E307),何澤堯,呂健威,124,1057,3,8-3/4,1 2 12 ,1:10.62,109,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,3,3
1,12,肥仔叻叻(E354),田泰安,大衛希斯,113,1377,6,-,7 8 1 ,1:08.11,2.7,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
2,2,錶之未來(D422),周俊樂,呂健威,123,1232,10,1,2 2 2 ,1:08.27,4.1,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
3,4,韋小寶(C188),潘頓,蘇保羅,124,1139,7,1,3 3 3 ,1:08.28,7.9,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
4,8,夢想成金(D358),何澤堯,羅富全,120,1170,1,3-1/2,5 6 4 ,1:08.65,5.6,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
5,10,加州雷電(D147),潘明輝,告東尼,112,1233,13,3-3/4,8 7 5 ,1:08.70,28,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
6,9,飛輪閃耀(E054),巴度,沈集成,119,1222,2,4,13 13 6 ,1:08.73,12,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
7,3,有理共想(B180),梁家俊,葉楚航,127,1188,8,4,12 12 7 ,1:08.74,30,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
8,11,明駿之星(C229),莫雷拉,蔡約翰,115,1182,12,4-1/2,11 9 8 ,1:08.83,23,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
9,5,大籐王(A061),史卓豐,高伯新,124,1144,9,4-3/4,10 11 9 ,1:08.89,26,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
10,6,二郎(C019),蔡明紹,告東尼,123,1171,11,6,4 4 10 ,1:09.07,140,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
11,7,烽煙四喜(A036),班德禮,苗禮德,122,1205,4,7-1/4,9 10 11 ,1:09.26,183,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
12,13,飛霸龍(B033),巫顯東,苗禮德,110,1112,3,8,6 5 12 ,1:09.39,24,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
13,1,君達星(B019),波健士,丁冠豪,133,1186,5,16-3/4,1 1 13 ,1:10.78,51,第一班,ST,1200米,好地,草地 - A 賽道,2021,9,5,4,4
1,1,瑪神好運(E024),馬雅,大衛希斯,132,1048,7,-,3 3 1 ,1:09.93,8.3,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
2,8,龍鳳情祥(B185),黎海榮,文家良,124,1103,3,1-1/4,5 4 2 ,1:10.14,27,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
3,13,坪山新星(C242),莫雷拉,鄭俊偉,117,1018,14,1-1/2,11 9 3 ,1:10.15,7,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
4,4,陽明冠爵(D240),周俊樂,韋達,123,1087,1,1-3/4,4 5 4 ,1:10.19,6.6,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
5,7,獵狐章者(B187),何澤堯,呂健威,127,1005,6,3-1/4,9 7 5 ,1:10.45,9.1,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
6,2,劍在九天(E078),潘頓,沈集成,132,1075,9,3-1/2,10 10 6 ,1:10.50,3.7,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
7,6,天天智庫(D231),薛恩,容天鵬,127,1020,12,3-3/4,1 1 7 ,1:10.52,11,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
8,5,挺秀精神(E027),蔡明紹,告東尼,128,1199,10,4,8 6 8 ,1:10.58,80,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
9,10,開心一號(C486),梁家俊,葉楚航,122,1052,4,4-1/4,2 2 9 ,1:10.63,11,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
10,3,幸運拼圖(D112),田泰安,徐雨石,130,987,11,4-1/2,13 13 10 ,1:10.65,12,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
11,12,白鷺盛世(D163),巫顯東,苗禮德,116,1070,13,6,14 14 11 ,1:10.88,23,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
12,9,葵涌精英(C173),史卓豐,丁冠豪,122,1071,5,6-1/4,6 8 12 ,1:10.94,19,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
13,14,喜又盈(C515),潘明輝,何良,114,1009,2,10-1/4,7 12 13 ,1:11.59,89,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
14,11,威力喜(D074),霍宏聲,霍利時,122,978,8,11-1/4,12 11 14 ,1:11.75,111,第五班,ST,1200米,好地,草地 - A 賽道,2021,9,5,5,5
1,6,緊張大師(E421),潘頓,大衛希斯,125,1233,10,-,1 1 1 ,0:55.71,1.3,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
2,7,電路七號(D474),潘明輝,告東尼,121,1084,2,3,4 3 2 ,0:56.17,82,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
3,9,連利福將(B475),班德禮,葉楚航,121,1140,14,3-1/4,13 12 3 ,0:56.24,8.9,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
4,3,辣得交關(E118),莫雷拉,沈集成,126,1145,4,3-3/4,5 5 4 ,0:56.32,16,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
5,13,友誼至佳(E208),波健士,韋達,114,1161,3,5-1/4,2 2 5 ,0:56.53,71,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
6,1,蟲草成名(E363),彭國年,高伯新,133,1100,5,5-3/4,12 10 6 ,0:56.61,16,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
7,11,大武士(B216),陳嘉熙,沈集成,113,1176,6,6,7 8 7 ,0:56.66,64,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
8,2,富高八斗(B473),周俊樂,姚本輝,126,1133,11,6,6 6 8 ,0:56.68,14,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
9,8,育成精彩(E359),巴度,葉楚航,122,1117,13,6-1/4,9 9 9 ,0:56.70,22,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
10,12,進優自在(D258),黎海榮,文家良,115,1065,12,6-1/2,14 13 10 ,0:56.76,44,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
11,4,電子赤兔(E338),楊明綸,韋達,125,1023,9,10-1/4,8 11 11 ,0:57.35,179,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
12,14,小武士(E267),田泰安,方嘉柏,114,1129,8,10-1/2,3 4 12 ,0:57.37,113,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
13,5,龍東傳承(E158),梁家俊,丁冠豪,125,1222,7,13-3/4,10 7 13 ,0:57.92,42,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
14,10,奇妙飛揚(E326),何澤堯,呂健威,120,1140,1,15-3/4,11 14 14 ,0:58.24,208,第四班,ST,1000米,好地,草地 - A 賽道,2021,9,5,6,6
1,9,怪獸奇兵(E369),梁家俊,文家良,120,1109,1,-,7 6 1 ,1:09.41,10,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
2,11,遨遊之星(C098),田泰安,容天鵬,113,1254,2,1-1/4,4 3 2 ,1:09.60,3.2,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
3,10,樂天派(E166),楊明綸,大衛希斯,114,1080,5,2-1/2,8 7 3 ,1:09.79,26,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
4,8,醒旺財(D208),巴度,韋達,120,1127,8,2-3/4,2 2 4 ,1:09.83,3.9,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
5,1,得力寶駒(E270),周俊樂,呂健威,128,1085,11,4,1 1 5 ,1:10.04,7.2,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
6,2,興高采烈(E197),潘頓,蘇保羅,132,1017,4,4,5 5 6 ,1:10.05,19,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
7,3,眾歡笑(D038),史卓豐,高伯新,128,1025,6,4,11 11 7 ,1:10.05,11,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
8,6,電訊犇豹(D405),班德禮,葉楚航,122,1155,3,4-1/2,9 9 8 ,1:10.12,144,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
9,7,當家信心(E153),莫雷拉,蔡約翰,122,1123,9,4-1/2,3 4 9 ,1:10.14,5.7,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
10,5,包裝威王(E371),潘明輝,沈集成,122,1118,10,5-1/2,10 10 10 ,1:10.29,22,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
11,4,精益傳奇(E008),蔡明紹,葉楚航,124,1149,7,14-1/4,6 8 11 ,1:11.69,172,第四班,ST,1200米,好地,草地 - A 賽道,2021,9,5,7,7
1,8,翡翠綠(C056),田泰安,苗禮德,126,1129,5,-,4 5 4 1 ,1:34.60,4.7,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
2,2,美麗精神(B409),巴度,告東尼,129,1289,10,1-1/2,8 6 5 2 ,1:34.85,14,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
3,10,皇龍司令(C208),巫顯東,徐雨石,122,1074,3,2-3/4,6 8 9 3 ,1:35.05,14,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
4,4,快步速(C427),莫雷拉,方嘉柏,128,1203,2,3,7 7 7 4 ,1:35.08,4.2,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
5,14,榮冠大道(V378),黃俊,葉楚航,109,1174,6,3-1/4,5 3 2 5 ,1:35.11,21,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
6,7,影疾(C466),潘頓,葉楚航,126,1127,13,3-1/4,11 9 8 6 ,1:35.12,7.6,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
7,13,開心大師(B222),陳嘉熙,方嘉柏,113,1098,12,4-1/2,12 13 13 7 ,1:35.31,22,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
8,5,紅麗舍(A005),霍宏聲,文家良,128,1170,9,4-1/2,2 2 3 8 ,1:35.31,26,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
9,1,神龍駒(B108),周俊樂,韋達,128,1070,8,4-1/2,10 11 12 9 ,1:35.33,11,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
10,12,合夥年代(C534),波健士,蘇偉賢,123,1108,14,4-3/4,13 12 10 10 ,1:35.38,8.6,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
11,6,海島材子(D219),班德禮,姚本輝,127,1046,11,5,9 10 11 11 ,1:35.39,22,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
12,9,幸運精選(B114),蔡明紹,容天鵬,126,1180,7,5-1/4,1 1 1 12 ,1:35.44,17,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
13,3,精彩有你(C394),潘明輝,姚本輝,126,1073,1,6-3/4,3 4 6 13 ,1:35.66,16,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
WV-A,11,勝利波幅(D499),梁家俊,呂健威,125,---,---,---,---,---,---,第四班,ST,1600米,好地,草地 - A 賽道,2021,9,5,8,8
1,9,將耀(C429),田泰安,告東尼,117,1106,7,-,10 7 4 1 ,1:21.61,4.4,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
2,3,好玩福星(E013),潘頓,沈集成,130,1124,2,1/2,3 4 3 2 ,1:21.70,3,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
3,11,成才(B085),楊明綸,大衛希斯,115,1176,5,3/4,6 2 2 3 ,1:21.72,53,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
4,2,勝賢(D169),莫雷拉,方嘉柏,131,1062,13,1-3/4,8 11 10 4 ,1:21.90,3.5,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
5,7,拍馬難追(E234),霍宏聲,苗禮德,122,1145,12,2-1/4,1 1 1 5 ,1:21.97,41,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
6,1,超級綠洲(D085),周俊樂,呂健威,128,1162,9,3,4 8 11 6 ,1:22.10,9.5,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
7,4,美麗非凡(D023),薛恩,蔡約翰,129,1193,8,4-1/4,9 10 8 7 ,1:22.27,8.8,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
8,6,一舖縱橫(B385),蔡明紹,葉楚航,122,1078,4,4-1/4,11 9 9 8 ,1:22.29,23,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
9,5,時時順意(D480),何澤堯,羅富全,128,1105,3,6,7 6 7 9 ,1:22.57,51,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
10,12,威進駒(A326),波健士,呂健威,115,1152,6,6-3/4,13 12 12 10 ,1:22.67,50,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
11,10,妙算歡騰(E383),潘明輝,丁冠豪,114,1181,10,9-3/4,2 3 5 11 ,1:23.18,85,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
12,8,機緣在握(E305),黃皓楠,高伯新,114,1150,11,9-3/4,12 13 13 12 ,1:23.18,305,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
13,13,奮鬥齊心(D349),巫顯東,徐雨石,111,1097,1,14-3/4,5 5 6 13 ,1:23.98,182,第三班,ST,1400米,好地,草地 - A 賽道,2021,9,5,9,9
1,2,加州得迅(D276),莫雷拉,告東尼,124,1162,11,-,2 2 1 1 ,1:21.30,4,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
2,9,雪山飛狐(E408),巴度,韋達,119,1113,4,2-1/4,3 3 5 2 ,1:21.65,5.1,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
3,11,電訊巴打(D482),蔡明紹,徐雨石,118,1102,5,2-1/4,4 5 2 3 ,1:21.66,15,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
4,1,星運子爵(D187),陳嘉熙,方嘉柏,126,1170,9,3-1/4,9 6 6 4 ,1:21.84,17,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
5,7,勝利威龍(C292),田泰安,呂健威,121,1088,6,3-3/4,5 7 7 5 ,1:21.90,13,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
6,12,超級軍團(E382),楊明綸,方嘉柏,118,1206,3,4,8 10 10 6 ,1:21.92,102,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
7,5,包裝太保(E142),何澤堯,大衛希斯,123,1290,13,4-1/4,12 9 9 7 ,1:21.97,4.8,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
8,3,飈驥(C160),賀銘年,丁冠豪,123,1096,10,5-1/2,13 13 13 8 ,1:22.17,45,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
9,13,帝豪寶寶(A050),潘明輝,沈集成,115,1224,7,5-3/4,6 4 4 9 ,1:22.23,68,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
10,4,電子群星(C132),史卓豐,文家良,123,1068,1,6-1/4,7 8 8 10 ,1:22.31,7.3,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
11,8,金哥兒(E236),霍宏聲,苗禮德,120,1220,12,6-1/2,11 12 11 11 ,1:22.32,81,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
12,10,牛角仔(C234),黎海榮,蘇偉賢,119,1126,2,9,10 11 12 12 ,1:22.72,122,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
13,6,順勢贏(E043),潘頓,沈集成,123,1079,8,62-1/2,1 1 3 13 ,1:31.29,6.1,第二班,ST,1400米,好地,草地 - A 賽道,2021,9,5,10,10
1,10,會展達人(C505),薛恩,葉楚航,126,1244,12,-,1 1 1 1 ,1:34.46,10,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
2,1,美活人生(D398),田泰安,沈集成,133,1091,10,1/2,10 9 7 2 ,1:34.57,11,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
3,11,正義駒(D146),班德禮,姚本輝,120,1102,8,2,7 6 6 3 ,1:34.77,12,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
4,2,香港精神(D241),巫顯東,苗禮德,130,1013,11,2,13 13 13 4 ,1:34.78,43,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
5,4,尖子(C266),莫雷拉,徐雨石,130,1086,2,3-1/4,5 5 4 5 ,1:34.97,3.4,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
6,9,金剛福星(D017),潘頓,蔡約翰,126,1008,3,4,12 11 10 6 ,1:35.09,9.1,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
7,12,行樂之光(D331),賀銘年,蘇偉賢,119,1113,1,4-1/2,8 8 8 7 ,1:35.20,3.6,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
8,5,劍聶風(A201),陳嘉熙,鄭俊偉,123,1065,7,4-3/4,2 3 3 8 ,1:35.21,23,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
9,8,龍城皇將(D246),梁家俊,苗禮德,127,1069,9,5-1/4,3 2 2 9 ,1:35.28,56,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
10,7,有力(E017),彭國年,鄭俊偉,127,1062,5,5-3/4,11 12 11 10 ,1:35.39,43,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
11,3,型感(D296),霍宏聲,霍利時,132,1265,4,8-3/4,6 7 9 11 ,1:35.87,14,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
12,13,智弗拍檔(D330),波健士,羅富全,116,1070,13,9,4 4 5 12 ,1:35.91,120,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
13,6,雪茄之友(D299),何澤堯,丁冠豪,128,1097,6,9-3/4,9 10 12 13 ,1:36.03,10,第五班,ST,1600米,好地至快地,草地 - B 賽道,2021,9,12,19,1
1,8,鋼鐵福陞(E111),莫雷拉,鄭俊偉,121,1136,2,-,4 3 1 ,1:08.94,2.8,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
2,11,豐彩華庭(D314),黎海榮,何良,116,1152,11,短馬頭位,5 5 2 ,1:08.96,6.2,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
3,5,印水紙(D043),賀銘年,高伯新,124,1130,6,2,1 1 3 ,1:09.27,9.6,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
4,4,專一(D191),陳嘉熙,葉楚航,120,1080,1,2-3/4,7 6 4 ,1:09.38,23,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
5,10,勇眼光(D487),史卓豐,大衛希斯,120,1257,7,3-3/4,2 2 5 ,1:09.56,11,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
6,2,駿皇星(D144),馬雅,文家良,132,1080,10,5,3 4 6 ,1:09.73,9.6,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
7,9,一路順風(C453),田泰安,苗禮德,120,1087,9,7-1/2,8 7 7 ,1:10.14,5.3,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
8,12,東方繁華(D232),霍宏聲,徐雨石,117,1073,5,8,10 8 8 ,1:10.23,112,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
9,7,星光爸爸(D322),周俊樂,韋達,117,1068,3,11-3/4,11 9 9 ,1:10.81,31,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
10,3,晉神(C476),潘頓,葉楚航,130,1042,8,12,9 10 10 ,1:10.86,10,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
11,1,雄龍(C191),巴度,蘇偉賢,133,1127,4,14-1/2,6 11 11 ,1:11.25,22,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
WV,6,純金酒杯(E220),何澤堯,呂健威,124,---,---,---,---,---,---,第四班,ST,1200米,好地,全天候跑道,2021,9,12,20,2
1,5,皇者精芯(E390),薛恩,大衛希斯,126,1121,2,-,4 3 1 ,1:08.72,1.4,第四班,ST,1200米,好地,全天候跑道,2021,9,12,21,3
2,8,福喜多多(B128),莫雷拉,呂健威,118,1124,4,3/4,2 2 2 ,1:08.86,8.4,第四班,ST,1200米,好地,全天候跑道,2021,9,12,21,3
3,6,日輝煌(E339),田泰安,沈集成,124,1097,1,1-1/4,6 5 3 ,1:08.94,10,第四班,ST,1200米,好地,全天候跑道,2021,9,12,21,3
4,11,活力爵士(D266),蔡明紹,葉楚航,114,1060,3,2-1/2,5 6 4 ,1:09.11,28,第四班,ST,1200米,好地,全天候跑道,2021,9,12,21,3
5,9,翡翠劇院(A040),班德禮,姚本輝,117,1107,9,4,9 8 5 ,1:09.35,44,第四班,ST,1200米,好地,全天候跑道,2021,9,12,21,3
